id,英文
ID,Desc
1,Cannot sleep with current status
2,Can’t sleep here. You need a bed
3,Can’t sleep in daytime
4,Too far from the bed
5,Too far from the bed
6,The bed is unavailable in the Flamas
7,Need More Ammo
8,Uploading/Downloading map.Please try again later
9,Downloading map.Please try again later
10,Save limit reached.Please delete some unused maps.
11,Your map is shared successfully. Tell your friends to download it!
12,Network interrupted. Sharing function is stopped. Please reconnect and try again
13,Please select a map first
14,Your request is being processed. You cannot enter the map until you finish uploading it.
15,The map has not finished downloading yet. You cannot enter it
16,Remove the save file you are downloading?
17,Are you sure you want to permanently delete this map?#cef2d2d (The backup of the map will also be deleted and you cannot undo this action)#n
18,Network Disconnected. Please share the map via WIFI
19,Network Disconnected. Please download the map via WIFI
20,Network Disconnected. Please update the map via WIFI
21,You’re currently using mobile data. Playing the game or use voice chat use cellular data. Do you wish to continue? 
22,Download interrupted due to an unstable network. Please reconnect and try again.
23,Seems like there’re no more maps. Come and share yours.
24,No more followed maps
25,Max number of Follows reached. Unfollow some maps before following new ones
26,Map added successfully. View in My Follows
27,Do you wish to unfollow?
28,Max download number reached. Please delete some saved maps before adding new ones
29,Map download failed. Please check your network connection and try again
30,You have already rated this map today. You can rate once per day
31,Your used all your Likes. Please try again tomorrow
32,Limited map: create a fixed-size random-terrain map that fit for mid-range devices
33,Ultra-large map: create an infinite-size terrain map that fit for high-end devices
34,Flat terriain map: create a flat-terrain map that’s easy to construct buildings
35,Select an item to craft.
36,Are you sure you want to delete this friend?
37,Poor network connection. Please try again later
38,Already friends 
39,Max number of friends reached
40,You cannot add yourself 
41,Failed to add friend. Please try again later
42,Friend deleted successfully
43,You cannot download an saved map in-game. Please try again at the main menu
44,No friends nearby. Please try again later
45,Enter name (can be numbers. letters or characters)
46,name already exists (Tap the text to enter)
47,High-end
48,Mid-range
49,Low-end 
50,Third Person
51,Back View
52,First Person
53,Vision
54,Vision
55,Vision
56,Storage is full!
57,Task points:
58,None
59,s adventure
60,s creation
61,need @1
62,created @1×@2
63,Delete friend
64,@1 became your friend
65,Left the enchantment menu 
66,Need more stars to enchant
67,No enchantment properties
68,Random Property
69,This item is enchanted
70,Sub-item will disappear after smelting
71,Please put in the sub-items 
72,Select the item you want to enchant
73,Stars
74,Mini Coins
75,Available to enchant:
76,Available as the main items
77,Available as the sub-items
78,No suitable properties
79,@1 is successfully enchanted
80,Please put in items to enchant
81,Has been put into backpack from the enchantment menu
82,"Collect resources, build tools, shelters and explore the world"
83,You have infinite resources to build anything you like
84,Create a new save\n Start your adventure now
85,You have no new save yet. #cfa7a0fCreate#n one now
86,Here are more maps to #cfa7a0fdownload! #n
87,New to the game? We recommend starting with the tutorial
88,Select a character\n 
89,Please select a character
90,Tutorial is not completed yet. Continue?
91,If you’re new. we recommend you play #c0aaa1aguide map#n.
92,Tutorial Map
93,Arrived: Under World
94,Arrived: Above World
95,You lost when fighting with the @other
96,@self please pay attention to the oxygen consumption
97,@self stay away from high temperature objects
98,High-place is full of danger! Watch out!
99,You need a space suit
100,Look out for cactus!
101,So lucky! You should go buy lottery today.
102,You are poisoned. Cure it by drinking some fresh milk
103,@self decayed like a flower.
104,You are in Running mode
105,You are in Sneaking mode
106,Come to my adventure room now! We are waiting for you!
107,This adventure room is so much fun! I can’t stop
108,Who wants to come to my adventure room now?
109,Let’s be friends! Come to my adventure room now!
110,Who can help me gather some ores? Come to my adventure room now!
111,Come to my creation room now! Here are plenty of fun
112,Come to my creation room now!  Let’s party!
113,I spent lots of effort to build this creation room! Everyone is welcome
114,My creation room is wating for you!
115,I have a big house in my creation room. Come and have a look!
116,It’s a full moon. A special night indeed...
117,"The moon has disappeared, this is a special night’"
118,Here are so many goodies. What do you need? Maybe you can go search for my brothers and sisters in the desert and the ice-field.
119,I grow up in a desert. I wanna turn my hometown into an oasis!
120,It’s cold in the ice field. I need lots of goodies. Can you give some to me?
121,Inappropriate words detected. Please reenter
122,This is the host’s storage box . You can’t open it.
123,Enter a new name
124,Need
125,Name cannot be changed in saves
126,Congratulations! The name is successfully changed to
127,Failed to change the name. Please check the network and try again
128,Purchased items are stored in Pack
129,Tap to put an item into backpack within saves
130,Only the host can use this item
131,Purchased successfully. Please go to the warehouse at the bottom left to check
132,successfully taken out. Please have a look in the backpack
133,Extreme adventure score:
134,You are removed from the room
135,Connection failed. The host has closed down multiplayer room
136,The room is closed.
137,Unable to enter. Failed to download the map or the map is damaged (please backup before sharing).
138,Activeness level:
139,Achievements unlocked:
140,Information
141,Avatar
142,Usage
143,Unlock
144,Enter the author’s UID
145,UID
146,Poor network connection. Please try again later
147,Select a category
148,Normal
149,Good
150,Excellent
151,Room owners you followed are taking a rest right now...
152,"Sorry, please refresh the map list and try again."
153,Name
154,Player
155,Sort
156,Description
157,Update now
158,Game version is too low. Please update
159,This saved map cannot be downloaded for recovered because it hasn’t been shared.
160,"You need to re-download the save.
Are you sure to download it now?"
161,Uploading/downloading stopped due to unstable network. Please check the network and try again
162,No followed maps. Check what others are sharing
163,Save data will be converted when entering the game. It may take a moment. Please do not exit the game.
164,Room entered last time
165,You are cheating. The consequences are severe.
166,Title
167,Tag
168,Type
169,Intro
170,Public
171,Private
172,A well-writen description can attract more\n people to download the map\n (Up to 60 characters)
173,Update sharing
174,My following
175,Enter UID
176,My sharing
177,Back
178,This guy is too lazy to leave any description~
179,"If you like the map, please rate it!"
180,Confirm
181,Save name cannot be blank
182,Mount’s Power
183,Hatch time
184,Snapshot
185,Get
186,Use
187,Upgrade
188,You have no save shared
189,This player has no shared maps
190,Ranking by default
191,HOT
192,Rating
193,Hot Topic
194,Latest
195,Rankings
196,Activate 
197,Speed up
198,Harvest
199,People who helped you:
200,The plant #c0aba1dgrows well#n
201,The plant is #cffda0athirsty#n
202,The plant is in state of #cff3d2bwilting#n
203,Possible to get:
204,Countdown:
205,(Speed up)
206,Activate 
207,Visit Friends’ Home
208,Scoreboard
209,Friends
210,Fans
211,Avatar
212,Name
213,Defeat
214,Friend
215,Mount
216,(Preview)
217,Wait for respawn
218," Switch Account，Please note:#r1.Don’t forget to upload important save files to prevent losses#r2. If you encounter a password error message, try switch and login again"
219,The room is closed due to unstable network
220,Closing the game room will kick all players out
221,Exiting game will kick all players out
222,Start game: 3
223,Start game: 2
224,Start game: 1
225,Go!
226,Got it
227,Default
228,News
229,@self gives @other a heavy blow!
230,@self’s strike hits @other accurately!
231,@self sends @other back to the respawn point!
232,@self scored a double!
233,@self scored a triple!
234,@self is so sharp!
235,@self cannot be stopped!
236,@self is dominating the game!
237,@self is carrying the team to victory!
238,@self went berserk! Who can stop that?
239,@self is godlike!
240,@self is beyond godlike! Can anyone stop that?
241,Version update
242,No News Yet
243,@self finishes @other’s triple combo!
244,@self finishes @other’s sharpness!
245,@self finishes @other’s unstoppable state!
246,@self finishes @other’s domination of game!
247,@self finishes @other’s way to surpass god!
248,@self finishes @other’s craziness!
249,@self finishes @other’s god-like state!
250,@self finishes @other’s god-surpassing state!
251,Your current mount is ready to summon prime mount now!
252,Prime Mount can only hatch after @num days in game
253,You cannot sit down at current status
254,Too far to sit down
255,Travelling Merchant
256,(New arrivals)
257,Welcome! May I help you?\n
258,leaving
259,Remaining:
260,Sold out
261,Street vendor
262,Street vendor leaving
263,Blueprint
264,"Ooh, ooh, ooh,What do you want?"
265,@Null@
266,"Failed to purchase,please try later"
267,The version is too low to update the skin
268,Get shards in Home or events. Can be used after being unlocked in Home-Collect.
269,Unable to save due to insufficient space. Please clear and try again
270,Victory
271,Failures
272,Draw
273,Activation code
274,Activation code for gift bag
275,Activated!
276,Check your reward by heading to Mall
277,and click Pack
278,@Null@
279,Please enter the activation code to redeem gift pack.
280,@Null@
281,Redeem Codes!
282,Unstable network. Please have a check
283,The activation code has been used. You cannot get gifts repeatedly
