id,西班牙语
ID,Desc
1,No puedes dormir en el estado actual.
2,"Não durma aqui, você precisa de uma cama."
3,No duermas en el día.
4,Demasiado lejos de la cama.
5,Demasiado caliente para usar el balde.
6,La cama no esta disponible en Flamas
7,Municiones insuficientes
8,Subiendo/Descargando mapa. Intentaló más tarde.
9,Descargando mapa. Vuelve a intentarlo más tarde.
10,Alcanza el límite de mapas descargados. Suprimir algunos. 
11,Su mapa fue compartido con éxito. Dígales a sus amigos a descargar! 
12,Desconectado. El uso compartimiento está detenido. Vuelve a conectarlo.
13,Seleccione un mapa primero
14,Está en proceso. No permite entrar en el mapa hasta la finalización de subir
15,Mapa en proceso de descarga. No puede acceder
16,¿Eliminar archivos de descarga?
17,"¿Eliminar el mapa permanentemente ?#cef2d2d(Si lo eliminas, no podrás recuperarlo.)"
18,No hay conexión a la red. Comparte el mapa por wifi.
19,No hay conexión a la red. Descarga el mapa por wifi.
20,No hay conexión a la red. Actualiza el mapa por wifi.
21,"Utilizando la red de celdas, le consumiría bastante el juego o usar la voz. ¿Lo continua? (Recomendamos conectar Wifi)"
22,Descarga interrumpida por la conectión inestable. Reconecte y pruebe.
23,No hay más mapas.Ven y comparte tu mapa !
24,No hay más mapas seguidos.
25,Mis inscripciones están llenas. Por favor borre algunos mapas inscritos.
26,Mapa añadido correctamente. Míralo en Mapas seguidos.
27,¿Deja de seguir?
28,Llenos ya los mapas descargados. Borre los mapas innecesarios.
29,Error al descargar mapa. Comprueba la conexión y vuelve a intentarlo.
30,Hoy has valorado este mapa. Solo puedes hacerlo una vez al día.
31,Tus gustos se han utilizado todo hoy. Mañana lo prueba.
32,Descripción del mapa limitado: crea un mapa con un terreno aleatorio y un tamaño fijo ideal para dispositivos normales.
33,Descripción del mapa ultragrande: crea un mapa con un terreno de tamaño infinito ideal para dispositivos avanzados.
34,Descripción del mapa topográfico plano: crea un mapa topográfico plano ideal para la construcción.
35,Seleccione un elemento para crear.
36,¿Seguro que quieres eliminar a este amigo?
37,Conexión de red inestable. Inténtelo más tarde.
38,"Ahora, este chico es tu amigo."
39,Has alcanzado el número máximo de amigos.
40,No te puedes añadir a ti mismo como amigo
41,Error al añadir a un amigo. Inténtelo más tarde.
42,Se ha eliminado a ese amigo correctamente.
43,No puede descargar un mapa archivado en el juego. Inténtelo en la interfaz principal.
44,No se han encontrado amigos cerca. Inténtelo más tarde.
45,"Introduce Nombre (Número, letras o carácteres)"
46,Nombre ya existe. (Toca el texto para introducir)
47,Nivel alto
48,Nivel medio
49,Nivel bajo
50,Tercera persona
51,Vista Trasera
52,Primera persona
53,Visión (Lejos)
54,Visión (Medio)
55,Visión (Corto)
56,Almacenamiento está lleno!
57,Puntos de tareas:
58," Nada"
59,Aventura
60,Creación
61,Ausencia @1
62,@1×@2 creado
63,Amigo eliminado
64,"Ahora, @1 es tu amigo."
65,Ha salido de la interfaz de encantamiento.
66,No hay suficientes estrellas para encantamientos.
67,Aún no hay propiedades encantadoras
68,Propiedad aleatoria
69,Este objeto está encantado.
70,El subobjeto desaparecerá tras la fundición.
71,Pon los subobjetos 
72,Seleccione el elemento que desea encantar
73,Estrellas
74,Mini Monedas
75,Objetos disponibles para encantar:
76,Objetos principales disponibles
77,Subobjetos
78,No hay propiedades adecuadas.
79,Se ha encantado a @1 correctamente.
80,Pon objetos para encantarlos.
81,Se ha colocado en la mochila desde la interfaz de encantamiento.
82,"Recoger recursos, construir herramientas, albergar y explorar el mundo"
83,Tienes recursos infinitos para establecer lo que quieras.
84,Crea un archivo nuevo.\n Empieza tu aventura ahora.
85,Aún no tienes ningún archivo. #cfa7a0fCrea#n uno ahora.
86,¡Aquí tienes más mapas para #cfa7a0fdescargar!#n
87,¿Nuevo en el juego? Recomendamos empezar con el tutorial
88,Selecciona un personaje.\n Crea tu personaje.
