海外-法语敏感词（第3行=无效汉字过滤，第4行=无效数字过滤，第5行汉字拆分）,特殊检测[0=不检测，1=乱序检测，2=同音字检测，4=字母检测(如xjp/习近平），8=社交检测]（多种检测则将数字相加，命中几个加几个）,
FilterString,filtertype,filternum
十卝口和谐河蟹【】（），。、‘’“”{}-——：“|《》？·~；,,
1234567890一二三四五六七八九壹贰叁肆伍陆柒捌玖拾佰仟万亿零①②③④⑤⑥⑦⑧⑨〇壹貳參肆伍陸柒捌玖拾佰仟萬億零,,
强奸法轮功权輪,弓虽女干氵去车仑土力木又車侖,
4chan,,
幹,,
fucker,,
ebal,,
eblan,,
zaeb,,
zaebal,,
zaebali,,
zaebat,,
黄继光,,
董存瑞,,
邱少云,,
刘胡兰,,
江姐,,
白求恩,,
赵一曼,,
杨靖宇,,
方志敏,,
狼牙山五壮士,,
雷锋,,
焦裕禄,,
赖宁,,
黃繼光,,
邱少雲,,
劉胡蘭,,
李大釗,,
趙壹曼,,
楊靖宇,,
方誌敏,,
狼牙山五壯士,,
雷鋒,,
焦裕祿,,
賴寧,,
毛泽东,,
周恩来,,
刘少奇,,
朱德,,
彭德怀,,
林彪,,
刘伯承,,
陈毅,,
贺龙,,
聂荣臻,,
罗荣桓,,
叶剑英,,
李大钊,,
陈独秀,,
孙中山,,
孙文,,
孙逸仙,,
邓小平,,
陈云,,
江泽民,,
李鹏,,
朱镕基,,
李瑞环,,
李岚清,,
胡锦涛,,
罗干,,
温家宝,,
吴邦国,,
曾庆红,,
贾庆林,,
黄菊,,
吴官正,,
李长春,,
吴仪,,
曹刚川,,
唐家璇,,
华建敏,,
陈至立,,
陈良宇,,
张德江,,
张立昌,,
俞正声,,
刘云山,,
张高丽,,
王乐泉,,
王刚,,
王兆国,,
刘淇,,
贺国强,,
李登辉,,
连战,,
陈水扁,,
宋楚瑜,,
吕秀莲,,
郁慕明,,
蒋介石,,
蒋中正,,
蒋经国,,
马英九,,
习近平,,
李克强,,
吴帮国,,
无帮国,,
无邦国,,
无帮过,,
瘟家宝,,
假庆林,,
甲庆林,,
假青林,,
离长春,,
习远平,,
袭近平,,
李磕墙,,
贺过墙,,
和锅枪,,
粥永康,,
轴永康,,
肘永康,,
周健康,,
粥健康,,
周小康,,
李肇星务,,
国务委员,,
国务院,,
中央委员,,
发改委,,
国家发展和改革委员会,,
发展和改革委员会,,
国家发展与改革委员会,,
发展与改革委员会,,
薄熙来,,
温家饱,,
温假饱,,
胡惊涛,,
习仲勋,,
华国锋,,
徐才厚,,
王立军,,
彭丽媛,,
令计划,,
布什,,
布莱尔,,
小泉,,
纯一郎,,
萨马兰奇,,
安南,,
阿拉法特,,
普京,,
默克尔,,
克林顿,,
里根,,
尼克松,,
林肯,,
杜鲁门,,
赫鲁晓夫,,
列宁,,
斯大林,,
马克思,,
恩格斯,,
金正日,,
金日成,,
萨达姆,,
胡志明,,
西哈努克,,
希拉克,,
撒切尔,,
阿罗约,,
曼德拉,,
卡斯特罗,,
富兰克林,,
华盛顿,,
艾森豪威尔,,
拿破仑,,
亚历山大,,
路易,,
拉姆斯菲尔德,,
劳拉,,
鲍威尔,,
奥巴马,,
奥马尔,,
柴玲,,
达赖喇嘛,,
江青,,
张春桥,,
姚文元,,
王洪文,,
东条英机,,
希特勒,,
墨索里尼,,
冈村秀树,,
冈村宁次,,
高丽朴,,
赵紫阳,,
王丹,,
沃尔开西,,
李大师,,
赖昌星,,
马加爵,,
班禅,,
额尔德尼,,
山本五十六,,
阿扁,,
阿扁万岁,,
热那亚,,
热比娅,,
尖阁列岛,,
实际神,,
东方闪电,,
全能神,,
安倍晋三,,
金正恩,,
恐怖组织,,
买毒品,,
卖毒品,,
茉莉花,,
钓鱼岛,,
钓鱼岛不属于中国,,
突尼斯,,
gongchandang,,
新闻出版总署,,
新闻出版署,,
处女,,
房事,,
押大,,
押小,,
坐台,,
猥亵,,
猥琐,,
肉体,,
排泄,,
卵子,,
西藏314事件,,
新疆7.5事件,,
新疆国,,
党中央,,
新闻管制,,
一边一国,,
两国论,,
分裂中国,,
革命,,
国内动态详情,,
回回,,
六四运动,,
美国之音,,
密宗,,
民国,,
民进党,,
民运,,
民主,,
民主潮,,
摩门教,,
纳粹,,
南华早报,,
南蛮,,
明慧网,,
起义,,
亲民党,,
瘸腿帮,,
人民报,,
法轮功,,
法轮大法,,
打倒共产党,,
台独万岁,,
圣战,,
示威,,
台独,,
台独分子,,
台联,,
台湾民国,,
台湾岛国,,
台湾国,,
台湾独立,,
太子党,,
天安门事件,,
屠杀,,
新党,,
新疆独立,,
新疆分裂,,
疆独,,
西藏独立,,
西藏分裂,,
西藏国,,
藏独,,
藏青会,,
藏妇会,,
学潮,,
学运,,
一党专政,,
一中一台,,
两个中国,,
一贯道,,
游行,,
造反,,
镇压,,
政变,,
政治,,
政治反对派,,
政治犯,,
中共,,
共产党,,
反党,,
政府,,
民主党,,
中国之春,,
转法轮,,
共党,,
苏家屯,,
基地组织,,
塔利班,,
东亚病夫,,
支那,,
高治联,,
高自联,,
专政,,
专制,,
世界维吾尔大会,,
核工业基地,,
核武器,,
铀,,
原子弹,,
氢弹,,
导弹,,
核潜艇,,
大参考,,
小参考,,
国内动态清样,,
全能教,,
新疆恐怖,,
台湾政府,,
新疆势力,,
新疆恐怖势力,,
新疆万岁,,
新疆,,
占中,,
占领中环,,
释迦牟尼,,
阿弥陀佛,,
多维,,
河殇,,
穆罕默德,,
耶和华,,
耶稣,,
伊斯兰,,
真主安拉,,
白莲教,,
天主教,,
基督教,,
东正教,,
大法,,
法轮,,
真理教,,
走向圆满,,
黄大仙,,
跳大神,,
神汉,,
神婆,,
大卫教,,
阎王,,
黑白无常,,
牛头马面,,
高丽棒子,,
蒙古鞑子,,
老毛子,,
回民吃猪肉,,
回民都是猪,,
古柯碱,,
谋杀,,
杀人,,
吸毒,,
贩毒,,
赌博,,
拐卖,,
走私,,
卖淫,,
强奸,,
轮奸,,
抢劫,,
先奸后杀,,
押注,,
下注,,
抽头,,
坐庄,,
赌马,,
赌球,,
筹码,,
老虎机,,
轮盘赌,,
可卡因,,
摇头丸,,
鸦片,,
罂粟,,
迷幻药,,
白粉,,
嗑药,,
冰粉,,
牛B,,
牛比,,
J8,,
小姐兼职,,
交媾,,
黄片,,
交配,,
性事,,
偷窥,,
马拉戈壁,,
AIDS,,
屙,,
爱滋,,
淋病,,
梅毒,,
爱液,,
逼,,
臭机八,,
臭鸡巴,,
吹喇叭,,
吹箫,,
催情药,,
肛门,,
龟头,,
机八,,
机巴,,
鸡八,,
鸡巴,,
机掰,,
鸡叭,,
鸡鸡,,
鸡掰,,
鸡奸,,
奸,,
茎,,
尻,,
滥交,,
乱交,,
嫖娼,,
强奸犯,,
乳峰,,
乳头,,
乳晕,,
三陪,,
威而钢,,
威而柔,,
伟哥,,
性高潮,,
颜射,,
阳物,,
阴部,,
阴唇,,
阴道,,
阴蒂,,
阴核,,
阴户,,
阴茎,,
阴门,,
淫,,
淫秽,,
淫乱,,
淫汁,,
淫穴,,
淫洞,,
援交妹,,
做爱,,
梦遗,,
阳痿,,
早泄,,
奸淫,,
tnnd,,
K他命,,
笨蛋,,
变态,,
操她妈,,
操妳妈,,
操你,,
操你妈,,
操他妈,,
肏,,
册那,,
侧那,,
测拿,,
蠢猪,,
荡妇,,
发骚,,
废物,,
干她妈,,
干妳,,
干妳娘,,
干你,,
干你妈,,
干你妈B,,
干你妈逼,,
干你娘,,
干他妈,,
狗娘养的,,
贱货,,
贱人,,
烂人,,
老母,,
老土,,
妈比,,
妈的,,
马的,,
妳老母的,,
妳娘的,,
你妈逼,,
破鞋,,
仆街,,
去她妈,,
去妳的,,
去妳妈,,
去你的,,
去你妈,,
去死,,
去他妈,,
日你,,
赛她娘,,
赛妳娘,,
赛你娘,,
赛他娘,,
骚货,,
傻子,,
上妳,,
上你,,
神经病,,
屎,,
屎妳娘,,
屎你娘,,
他妈的,,
王八蛋,,
乡巴佬,,
猪猡,,
尿,,
掯,,
骑你,,
湿了,,
操他,,
操她,,
骑他,,
骑她,,
欠骑,,
欠人骑,,
来爽我,,
来插我,,
干他,,
干她,,
干死,,
干爆,,
干机,,
机叭,,
臭鸡,,
臭机,,
烂鸟,,
览叫,,
阳具,,
肉壶,,
摸咪咪,,
干鸡,,
干入,,
爽你,,
干干,,
干X,,
他干,,
干它,,
干牠,,
干您,,
干汝,,
干林,,
操林,,
干尼,,
操尼,,
我咧干,,
干勒,,
干我,,
干到,,
干啦,,
干爽,,
欠干,,
狗干,,
我干,,
来干,,
轮干,,
轮流干,,
干一干,,
奸暴,,
再奸,,
我奸,,
奸你,,
奸他,,
奸她,,
奸一奸,,
淫湿,,
鸡歪,,
臭西,,
遗精,,
烂逼,,
大血比,,
叼你妈,,
靠你妈,,
戳你,,
逼你老母,,
挨球,,
草拟妈,,
卖逼,,
狗操卖逼,,
日死,,
奶娘,,
他娘,,
她娘,,
骚B,,
你妈了妹,,
逼毛,,
插你妈,,
叼你,,
渣波波,,
嫩b,,
weelaa,,
缔顺,,
帝顺,,
蒂顺,,
系统消息,,
午夜,,
看下,,
草泥马,,
法克鱿,,
雅蠛蝶,,
潜烈蟹,,
菊花蚕,,
尾申鲸,,
吉跋猫,,
搞栗棒,,
吟稻雁,,
达菲鸡,,
3P,,
群P,,
马勒戈壁,,
双飞,,
你奶奶,,
你祖宗,,
周恩來,,
碡,,
籀,,
朱駿,,
朱狨基,,
朱溶剂,,
朱熔基,,
邾,,
猪操,,
