id,德语
ID,Desc
1,Im aktuellen Modus kannst du nicht schlafen
2,Schlafe nicht hier. Du benötigst ein Bett!
3,Schlafe nicht während des Tages
4,Zu weit vom Bett entfernt
5,Es ist zu heiß um den Eimer zu benutzen
6,Das Bett ist in den Flamas nicht verfügbar
7,Nicht genügend Munition
8,Die Karte wird gerade heruntergeladen/hochgeladen. Bitte versuche es später erneut
9,Die Karte wird gerade heruntergeladen. Bitte versuche es später erneut
10,Du hast die Obergrenze für Archive fast erreicht. Bitte lösche unnötige Archive
11,"Die Karte wurde erfolgreich geteilt. Lade deine Freunde ein, Karte herunterzuladen"
12,Die Verbindung ist unterbrochen. Teilen ist ausgesetzt. Bitte stelle eine Verbindung her und versuche es erneut
13,Bitte wähle eine Karte aus
14,Deine Anfrage wird bearbeitet. Du kannst keine Karte öffnen bevor diese vollständig hochgeladen ist.
15,Der Download der Karte ist noch nicht abgeschlossen. Sie können die Karte nicht betreten.
16,"Möchtest du die Karte löschen, die du gerade herunterlädst?"
17,Möchtest du diese Karte löschen?#cef2d2d(Auch das Backup der Karte wird gelöscht)#n
18,Keine Verbindung zum Netzwerk. Bitte teile die Karte über W-Lan
19,Keine Verbindung zum Netzwerk. Bitte teile die Karte über W-Lan
20,Keine Verbindung zum Netzwerk. Bitte teile die Karte über W-Lan
21,Achtung: Im Moment nutzt du mobile Daten. Die Nutzung des Spiels und unserer Chat Funktion kann einen hohen Datenkonsum verursachen. Möchtest du dennoch fortfahren?
22,Der Download wird aufgrund eines instabilen Netzwerks abgebrochen. Bitte stelle eine W-Lan Verbindung her und versuche es erneut.
23,"Es scheint, dass keine weiteren Karten vorhanden sind. Teile deine Karte"
24,Keine weiteren Karten mehr
25,Mein ABONNIERT ist bereits voll. Du kannst keine weiteren Karten hinzufügen.
26,Die Karte wird erfolgreich hinzugefügt. Schau sie dir in Mein ABONNIERT an
27,Nicht mehr folgen?
28,Du hast das Maximum an Downloads erreicht. Bitte lösche unnötige Karten
29,Download der Karte fehlgeschlagen. Bitte überprüfe deine Verbindung und versuche es erneut.
30,Du hast diese Karte heute bewertet. Nur eine Bewertung einen Tag.
