id,韩语
ID,Desc
1,현재 상태에서는 잠을 잘 수 없습니다.
2,여기서 자시면 안됩니다. 침대가 필요합니다.
3,낮에 자시면 안됩니다.
4,침대와의 거리가 멉니다.
5,양동이를 사용하기에는 너무 뜨거움
6,침대는 플라즈에서 사용할 수 없습니다
7,탄약이 부족합니다.
8,맵을 전력으로 업로드/다운로드 중입니다. 잠시 후에 다시 시도해 주시기 바랍니다.
9,맵을 전력으로 다운로드 중입니다. 잠시 후에 다시 시도해 주시기 바랍니다.
10,"저장 파일 수량이 상한에 달하였으니, 필요 없는 저장된 맵을 삭제해 주십시오."
11,맵 공유가 성공적으로 처리되었습니다. 친구들에게 빨리 다운로드 받으라고 알리십시오!
12,네트워크가 끊겼습니다. 공유가 일시 정지됩니다. 네트워크 연결 후 다시 시도하십시오.
13,맵을 선택해서 들어가세요.
14,공유중입니다. 맵 업로드 완료후 진입 가능합니다.
15,이 맵은 다운로드가 완료되지 않아 들어갈 수 없습니다.
16,다운로드 중인 저장 파일을 삭제하시겠습니까?
17,"이 맵을 영구히 삭제하시겠습니까?
 #cef2d2d (맵의 백업도 삭제될 수도 있습니다.)
 (삭제 후 복구할 수 없습니다.) #n"
18,네트워크에 연결되지 않았습니다. 무선랜에서 지도를 공유하십시오.
19,네트워크에 연결되지 않았습니다. 무선랜에서 지도를 다운로드 하십시오.
20,네트워크에 연결되지 않았습니다. 무선랜에서 지도를 업데이트 하십시오.
21,"주의: 모바일 네트워크를 사용하고 있습니다. 게임과 음성이 데이터를 소모합니다. 계속 진행하시겠습니까?
 (무선랜 네트워크 접속을 권장합니다)"
22,네트워크가 불안정하여 다운로드가 중단되었습니다. 다시 무선랜에 접속해 보십시오.
23,더 이상의 맵이 없으니 어서 와서 당신의 맵을 공유해주십시오!
24,저장된 맵이 더 이상 없습니다.
25,저장 공간이 가득 찼습니다. 저장된 맵을 일부 삭제해 주세요.
26,맵을 성공적으로 추가하였으니 (내 팔로우)로 와보세요.
27,팔로우를 취소하시겠습니까?
28,"다운로드 저장소 수가 꽉 찼습니다, 필요 없는 저장소 맵을 삭제해 주십시오"
29,맵을 다운로드할 수 없습니다. 네트워크 상태를 확인하시고 다시 시도하십시오.
30,오늘 이미 이 맵에 대해 평가를 진행하였습니다. 평가는 하루에 한 번으로 제한합니다.
31,오늘의 좋아요는 이미 다 썼습니다. 내일 다시 시도해 보십시오.
32,제한된 맵의 설명: 고정된 크기의 무작위 지형 지도를 만듭니다. 일반적인 성능에 적합한 장치입니다.
33,슈퍼맵의 설명: 무한한 크기의 지형맵을 만들어서 보다 고성능 기기에 적합합니다.
34,평평한 지형의 설명: 평평한 지형의 맵을 만들면 건물을 짓기에 적합합니다.
35,만드실 물품을 선택하세요!
36,친구를 삭제하시겠습니까?
37,네트워크 연결이 불안정합니다. 잠시 후 다시 시도해 주십시오.
38,이 파트너는 이미 당신의 친구로 되었습니다.
39,친구 수가 이미 상한에 이르렀습니다.
40,자신을 친구로 추가할 수 없습니다.
41,친구를 추가할 수 없습니다. 잠시 후 다시 시도해 주십시오.
42,이 친구를 성공적으로 삭제되었습니다.
43,게임 내 저장된 맵을 다운로드할 수 없습니다. 메인 인터페이스에서 다시 시도해 보십시오.
44,근처에 있는 친구를 찾지 못했습니다. 잠시 후에 다시 검색해 주십시오.
45,"캐릭터명의 입력은 숫자, 알파벳, 혹은 한자를 사용할 수 있습니다."
46,캐릭터명이 이미 존재합니다(문자를 클릭하시면 입력 가능합니다)
47,고급 설정
48,중급 설정
49,저급 설정
50,뒷 시각
51,정 시각
52,주 시각
53,관찰시야 (멀리)
54,관찰시야( 가운데)
55,관찰시야 (근접)
56,사물함이 꽉 찼습니다!
57,작업 포인트 :
58,없음
59,의 모험
60,의 창조
61,@1이 부족함
62,@1×@2를 만들었습니다.
63,친구 삭제
64,@1이 당신의 친구가 되었습니다.
65,복마 인터페이스에서 해제되었습니다.
66,복마가 필요로 하는 별이 부족합니다.
67,아직 복마 속성이 없습니다.
68,임의로 악마의 속성을 부여합니다.
69,이 물품은 이미 복마되었습니다.
70,융합 후 부재는 사라집니다.
71,부물을 넣어주세요.
72,복마 물품을 선택해 주십시오.
73,별
74,미니 코인
75,복마 가능 물품
76,사용 가능한 메인 물품
77,사용 가능한 부품
78,속성 없음
79,@1 복마의 성공!
80,복마할 물건을 넣어주세요.
81,복마 인터페이스에서 백팩에 넣었습니다.
82,"야외에서 열심히 생존하십시오! 자원을 모으고, 세계를 탐구하십시오!"
83,각종 무한한 자원을 가지고 있어 어떠한 상상도 할 수 있습니다.
84,새 저장 파일을 만듭니다\n 모험을 시작하십시오.
85,파일이 저장되지 않았습니다. 빨리 #cfa7a0f로 가서 #n을 만드십시오
86,#cfa7a0f 다운로드 가능 맵을 더 많이 볼 수 있습니다! #n
87,"처음 게임에 들어가는 초보 수업 추천, 게임 기본 플레이 방법 알아보기!"
88,장면 속 인물 선택\n 캐릭터를 만듭니다.
89,캐릭터를 선택하세요.
