id,巴西葡萄牙语
ID,Desc
1,"Não durma aqui, você precisa de uma cama."
2,Não consigo dormir aqui. Você precisa de uma cama
3,Não durma durante o dia.
4,Você está muito longe da cama.
5,"Aqui está muito quente, não pode usar barril de água."
6,Cama esta indisponivel em Flamas
7,Munição insuficiente.
8,Carregando/descarregando mapa. Tente mais tarde.
9,Descarregando o mapa. Tente mais tarde.
10,"O número de arquivos atingeu o limite, exclua mapas desnecessários"
11,Seu mapa foi compartilhado com sucesso. Por Favor convide seus amigos para baixar.
12,"Rede interrompida. A função de compartilhamento está parada. Por favor, reconecte e tente novamente"
13,"Por favor, selecione um mapa primeiro"
14,Está sendo processada. Não permite entrar no mapa até a conclusão do upload
15,"O mapa ainda não foi descarregado, você não pode entrar."
16,Deseja excluir o arquivo que está sendo baixado?
17,Deseja apagar o mapa permanentemente?#cef2d2d(Não poderá voltar atrás após apagar).
18,Não está conectado à rede. Por Favor compartilhe o mapa sob Wi-Fi.
19,Não está conectado à rede. Por Favor compartilhe o mapa sob Wi-Fi.
20,Não está conectado à rede. Por Favor compartilhe o mapa sob Wi-Fi.
21,Você está conectado a rede movel e isso poderá consumir dados. Deseja continuar? (Recomendado usar Wi-FI).
22,A rede está instável e o download foi interrompido. Reconecte-se ao Wi-Fi e tente novamente
23,Não há mapas agora. Compartilhe seus mapas.
24,Não há mais mapas.
25,Minhas inscrições estão cheias. Por Favor apague alguns mapas inscritos.
26,Mapa adicionado com sucesso. Veja em “minhas inscrições”.
27,Deseja deixar de seguir?
28,Nº máximo de downloads alcançou o limite. Por Favor apague os mapas desnecessários salvos.
29,Falha ao descarregar o mapa. Por Favor verifique a sua conexão e tente novamente.
30,Você já avaliou este mapa hoje. Apenas pode avaliar 1x por dia.
31,"Você já usou suas curtidas hoje, tente amanha novamente."
32,Descrição de mapa limitado: crie um terreno aleatório de tamanho fixo para se adequar a dispositivos comuns.
33,Descrição de mapas super grandes: crie um mapa de tamanho infinito para dispositivos de alta peformance.
34,Descrição de mapas topográficos: crie um mapa topográficos para construções.
35,Selecione um item para criar.
36,Você tem certeza que deseja deletar o amigo?
37,"Conexão instável. Por favor, tente mais tarde."
38,Esta pessoa é seu amigo agora.
39,Nº máximo de amigos foi alcançado.
40,Você não pode adicionar a si mesmo como amigo.
41,Falha ao adicionar o amigo. Por Favor tente mais tarde.
42,O amigo foi deletado com sucesso.
43,Você não pode baixar os mapas durante o jogo. Por Favor tente no menu principal.
44,Nenhum amigo ao redor encontrado. Por Favor tente mais tarde.
45,"Pode-se usar letras, números ou símbolos em nomes."
46,O nome já existe. (Clique para inserir).
47,Nivel Alto
48,Nivel Medio
49,Nivel Baixo
50,Terceira Pessoa
51,Vista traseira
52,Primeira Pessoa
53,Visao
54,Visao
55,Visao
56,Armazenamento cheio!
57,Pontos de conquista:
58,Nenhum
59,Aventura
60,Criação
61,Falta @1
62,@1x@2 criou
63,Deletar o amigo
64,@1 é seu amigo agora
65,Saiu da tela de encantamento
66,Estrelas insuficientes para encantamento
67,Sem propriedades para encanamento ainda
68,Propriedades aleatórias
69,Este item já foi encantado
70,Os subitens irão desaparecer após a fusão
71,"Por favor, coloque os subitens"
72,Selecione um item encantado
73,Estrelas
74,Mini Moedas
75,Itens disponíveis para o encantamento:
76,Itens principais disponíveis
77,Subitens
78,Sem propriedades adequados
79,@1 encantado(a) com sucesso.
80,Por Favor coloque os itens para encantar.
81,Adicionado à mochila a partir da tela de encantamento.
82,"Colete recursos, construa ferramentas, abrigue e explore o mundo"
83,Você possui recursos infinitos para estabelecer o que você quiser.
84,Crie um novo arquivo\n Comece sua aventura agora!
85,Você ainda não tem arquivo. #cfa7a0fCriar#n um agora
86,Aqui tem mais mapas para #cfa7a0fbaixar#n
87,É a primeira vez que entra no jogo? Recomendamos você a começar com o tutorial
88,Escolha um personagem na cena\n Crie seu personagem
89,"Por favor, escolha uma personagem"
90,O tutorial ainda não foi concluído. Continuar?
91,"Se você é iniciante, nós recomendamos que você entre no#c0aaa1atutorial#n."
92,Mapa Tutorial
93,Chegou: Mundo Subterrâneo
94,Chegou: Mundo Terrestre
95,Você perdeu ao combater contra @other
96,"@self, preste atenção ao consumo de oxigênio"
97,@self fique longe de objetos de alta temperatura
98,Lugar alto está cheio de perigo! Cuidado!
99,Você precisa de um traje espacial
100,Cuidado com o cactus.
101,Você é tão sortudo que devia jogar na loteria.
102,Você está envenenado. Beba Leite como antídoto.
103,@self morreu como uma flor.
104,Você está em modo de fuga.
105,Você esta em modo furtivo.
106,Venha para minha sala de aventura agora! Meus companheiros estão à sua espera!
107,Esta sala de aventura é muito legal! Não consigo parar.
108,Quem viria para minha sala da aventura agora?
109,"Vamos ser amigos, venha para minha sala de aventura agora!"
110,Quem me ajudaria a cavar minérios? Venha para minha sala de aventura agora!
111,Venha para minha sala de criação. Aqui há muita diversão.
112,Venha para a minha sala de criação e faça uma festa com todos!
113,Seja vem vindo à minha sala de criação.
114,A minha sala da criação já esteve à espera por muito tempo!
115,Eu tenho uma casa grande em minha sala de criação. Venha dar uma olhada.
116,"A lua está cheia, é uma noite especial."
117,"A lua está escondida, esta é uma noite especial..."
118,"Há tantos produtos aqui, o que você precisa? Talvez você possa procurar meus irmãos no deserto e na terra de gelo."
119,Eu cresci no deserto. Eu quero mais produtos para me transformar em oasis!
120,É frio na terra do gelo. Eu preciso de muitos recursos. Você poderia me oferecer alguns?
121,"Não pode contar palavras proibidas, por favor inserir novamente."
122,A caixa de armazenamento é dedicado para o dono da sala. Você não pode abrí-lo.
123,Insira um nome novo
124,Precisar
125,O nome não pode ser alterado em atividades
126,Parabéns! O nome foi alterado com sucesso para
127,Falha ao alterar o nome. Por Favor verifique sua rede e tente novamente.
128,Itens comprados são armazenados no pacote
129,"No arquivo, clique no item para extraí-lo para a mochila"
130,Este tipo de item apenas pode ser retirado e usado pelo dono da sala.
131,Comprado com sucesso. Por Favor entre no armazém pelo canto inferior esquerdo para verificar.
132,Retirado com sucesso. Por Favor verifique sua mochila.
133,Pontos da Aventura Extrema:
134,Você foi expulso da sala. Talvez o líder não tenha gostado de você.
135,Conexão falhou. O hoster fechou sala multi jogador
