id,泰语
ID,Desc
1,นอนหลับในสถานะนี้ไม่ได้
2,นอนที่นี่ไม่ได้ คุณต้องมีเตียง
3,นอนตอนกลางวันไม่ได้
4,อยู่ไกลจากเตียงเกินไป
5,ที่นี่ร้อนเกินไป จึงใช้ถังน้ำไม่ได้
6,วางเตียงไว้ในดาวเปลวไฟไม่ได้
7,กระสุนไม่พอ
8,โปรดรอสักครู่ กำลังอัปโหลด/ดาวน์โหลดแมพ
9,โปรดรอสักครู่ กำลังดาวน์โหลดแมพ
10,จำนวนไฟล์เต็มแล้ว โปรดลบไฟล์แมพที่ไม่ต้องการก่อน
11,แชร์แมพสำเร็จ รีบไปบอกให้เพื่อนๆ มาดาวน์โหลดสิ
12,เน็ตหลุด การแชร์หยุดชั่วคราว โปรดเชื่อมต่อเน็ตแล้วลองใหม่
13,โปรดเลือกแมพที่จะเข้า!
14,กำลังแชร์อยู่ โปรดเข้าหลังอัปโหลดแมพสำเร็จ
15,ยังดาวน์โหลดแมพนี้ไม่สำเร็จ จึงเข้าไม่ได้
16,ลบไฟล์ที่กำลังดาวน์โหลดหรือไม่
17,"ยืนยันจะลบแมพนี้ถาวรหรือไม่
#cef2d2d(แมพที่สำรองไว้ก็จะถูกลบ)
(หลังลบจะฟื้นฟูไม่ได้)#n"
18,ไม่ได้เชื่อมต่ออินเทอร์เน็ต โปรดแชร์แมพขณะใช้ Wifi
19,ไม่ได้เชื่อมต่ออินเทอร์เน็ต โปรดดาวน์โหลดแมพขณะใช้ Wifi
20,ไม่ได้เชื่อมต่ออินเทอร์เน็ต โปรดอัปเดตแมพขณะใช้ Wifi
21,"โปรดทราบ:คุณกำลังใช้ 2G/3G/4G แน่ใจไหมว่าจะทำต่อ?
(แนะนำให้เชื่อมต่อด้วย Wifi)"
22,หยุดการดาวน์โหลด เพราะอินเทอร์เน็ตไม่เสถียร โปรดเชื่อมต่อ Wifi แล้วลองใหม่
23,ขณะนี้ไม่มีแมพอื่นแล้ว รีบมาแชร์แมพของคุณสิ
24,ไม่มีแมพที่ติดตามแล้ว
25,การติดตามของฉันเต็มแล้ว โปรดลบแมพที่ติดตามบางส่วนก่อน
26,เพิ่มแมพสำเร็จ โปรดเช็คดูในการติดตามของฉัน
27,ยกเลิกติดตามหรือไม่
28,จำนวนไฟล์ที่ดาวน์โหลดเต็มแล้ว โปรดลบไฟล์แมพที่ไม่ต้องการก่อน
29,ดาวน์โหลดแมพล้มเหลว โปรดเช็คสถานะอินเทอร์เน็ตก่อน
30,วันนี้ให้คะแนนแมพนี้แล้ว ให้คะแนนได้วันละครั้งเท่านั้น
31,วันนี้ใช้สิทธิ์กดไลค์หมดแล้ว พรุ่งนี้โปรดลองอีกครั้ง
32,แมพจำกัด:สร้างแมพภูมิประเทศแบบสุ่มที่มีขนาดคงที่ เหมาะกับอุปกรณ์ทั่วไป
33,แมพขนาดใหญ่:สร้างแมพภูมิประเทศที่ไม่จำกัดขนาด เหมาะกับอุปกรณ์ที่สเป็คค่อนข้างสูง
34,ภูมิประเทศราบเรียบ:สร้างแมพที่ภูมิประเทศราบเรียบ เหมาะกับการสร้างสิ่งก่อสร้าง
35,โปรดเลือกไอเทมที่จะคราฟต์
36,ต้องการลบเพื่อนคนนี้หรือไม่
37,อินเทอร์เน็ตไม่เสถียร โปรดลองใหม่ภายหลัง
38,เขาเป็นเพื่อนของคุณแล้ว
39,จำนวนเพื่อนเต็มแล้ว
40,เพิ่มตัวเองเป็นเพื่อนไม่ได้
