id,中文繁體
ID,Desc
1,當前狀態不能睡覺
2,不能睡在這個地方，你需要床
3,不能在白天睡覺
4,距離床太遠
5,這裡太熱了，不能使用水桶
6,烈焰星不能放置床
7,彈藥不足
8,正在全力上傳/下載地圖中，請稍後再試
9,正在全力下載地圖，請稍後再試
10,存檔數量達到上限，請刪除不需要的存檔地圖
11,分享地圖成功，快通知小夥伴們下載吧
12,網路中斷，暫停分享，請連接網路後再試
13,請選擇地圖進入！
14,正在分享，上傳地圖完成後才能進入
15,"此地圖未下載完成,不能進入"
16,是否刪除正在下載的存檔
17,"確定要永久刪除此地圖嗎？
#cef2d2d（地圖的備份也會被刪除）
（刪除後無法恢復）#n"
18,沒有連接到網路，請在無線局域網下分享地圖
19,沒有連接到網路，請在無線局域網下下載地圖
20,沒有連接到網路，請在無線局域網下更新地圖
21,當前是移動網路，可能會消耗流量，是否繼續？ （建議連接無線局域網網路）
22,網路不穩定，下載中斷，請重新連接無線局域網再試
23,暫沒有更多地圖了，快來分享你的地圖吧
24,沒有更多關注地圖了
25,我的關注已滿，請刪除部分關注的地圖
26,成功添加地圖，請到（我的關注）查看
27,是否取消關注
28,下載存檔數已滿，請刪除不需要的存檔地圖
29,下載地圖失敗，請檢查網絡狀況再試
30,今天已經給這個地圖評過分，每天一次
31,今天的點贊已經用完，請明天再試
32,有限的地圖說明：創建固定大小的隨機地形地圖，適合普通性能的設備
33,超大的地圖說明：創建無限的大小的地形地圖，適合較高性能的設備
34,平坦地形的說明：創建平整地形的地圖，適合搭建建築
35,請選擇要製作的物品！
36,確定要刪除好友嗎？
37,網路連接不穩定，請稍後再試
38,這個小夥伴已是你的好友
39,好友數量已達上限
40,不能添加自己為好友
41,添加好友不成功，請稍後再試
42,成功刪除該好友
43,遊戲內不能下載存檔地圖，請到主介面再試
44,附近好友暫時沒找到，請稍後再搜索
45,輸入角色名可使用數位、字母、或者漢字
46,角色名已存在 （點擊文字可輸入）
47,高等配置
48,中等配置
49,低等配置
50,背視角
51,正視角
52,主視角
53,視野(遠)
54,視野(中)
55,視野(近)
56,儲物箱已滿！
57,帳號任務點數：
58,無
59,的冒險
60,的創造
61,缺少@1
62,製作了@1×@2
63,刪除好友
64,@1成為你的好友
65,已從附魔介面掉出
66,附魔所需星星不足
67,還沒有附魔屬性
68,隨機給予附魔屬性
69,此物品已被附魔
70,融合後副物品會消失
71,請放入副物品
72,請選擇附魔物品
73,星星
74,迷你幣
75,可附魔的物品：
76,可用的主物品
77,可用的副物品
78,無適合屬性
79,@1附魔成功！
80,請放入要附魔的物品
81,已從附魔介面放入背包
82,在野外努力生存吧，收集資源，探索世界
83,擁有各種無限的資源可以搭建任何想到的東西
84,創建一個新的存檔\n 開始冒險吧
85,你還沒有存檔，快去#cfa7a0f創建#n一個吧
86,這裡有更多地圖可以#cfa7a0f下載！#n
87,第一次進入遊戲，推薦進行新手教學，瞭解遊戲基本玩法
88,選擇場景中的人物\n 創建你的角色吧
89,請選擇角色
90,新手教學還沒完成，是否繼續？
91,進入教學地圖(推薦)
92,新手教學地圖
93,已到達：地下世界
94,已到達：地表世界
95,你在與@other的戰鬥中不慎失手。
96,@self在游泳過程中要注意氧氣消耗哦~
97,@self注意遠離高溫物體！
98,@self從萬里高空中一躍而下。
99,你需要一件宇航服。
100,小心仙人掌！
101,這運氣可以買彩票了。
102,中毒了請喝鮮奶！
103,@self像花一樣凋謝了。
104,已進入奔跑模式
105,已進入潛行模式
106,快來我的冒險房間吧！我和小夥伴都在等你
107,這冒險房間很酷！根本停不下來
108,誰快來我的冒險房間作客？
109,是兄弟，就來我的冒險房間吧！
110,誰來幫我挖挖礦，快來我的冒險房間！
111,快快來我的創造房間！這裡很多好玩的
112,快來我的創造房間大家一起開派對！
113,我精心打造的創造房間，歡迎大家
114,我的創造房間早已等候多時！
115,我的創造房間有座大房子，快進來看看吧！
116,月圓了，這是一個特殊的夜晚...
117,月隱了，這是一個特殊的夜晚...
118,這裡有很多貨物，你需要些什麼？或許你還可以去沙漠和冰原找我的兄妹。
119,漫漫黃沙我長大的地方，我想要更多的貨物將其變為綠洲！
120,冰原寒冷，我需要大量的物資，你可以為我提供嗎？
121,有不合規的敏感詞，請重新輸入
122,這是房主專用的儲物箱，你不可以打開
123,輸入修改的名字
124,需要花費
125,存檔內無法修改名字
126,恭喜成功修改名字為
127,改名沒有成功，請檢查網路再試
128,購買的道具會存放到左下角的倉庫中
129,在存檔內，點擊道具可以提取到背包
130,這類道具只有房主能夠提取並使用
131,購買成功，請從左下角進入倉庫查看
132,提取成功，請到背包查看
133,極限冒險分數：
134,你被房主請離了當前房間
135,連接斷開！房主已經關閉了聯機房間。
136,麻麻叫房主吃飯了，關閉了房間
137,無法進入，地圖下載失敗或已損壞（建議提前分享做備份）
138,活躍等級:
139,成就解鎖：
140,信 息
141,頭 像
142,使 用
143,解 鎖
144,輸入作者迷你號
145,請輸入房主的迷你號
146,網路不穩定，請檢查網路
147,類型選擇
148,一般
149,良好
150,優秀
151,你關注的房主們暫時都在休假……
152,抱歉，請刷新地圖列表後再次嘗試
153,名稱
154,人數
155,類型
156,描述
157,立即更新
158,遊戲版本太低，請升級版本
159,由於該存檔地圖未分享，地圖無法下載恢復
160,需要重新下載該存檔，是否開始下載？
161,網路不穩定，上傳/下載暫停，請檢查網路後再試
162,沒有關注地圖，快去看看小夥伴的分享吧
163,進入遊戲將會轉換存檔資料，可能需要幾分鐘，請耐心等待，請勿切出遊戲
164,上次進入的房間
165,"作弊修改, 熊二很生氣, 後果很嚴重"
166,標題
167,標籤
168,類型
169,介紹
170,所有人可見
171,僅自己可見
172,精彩的地圖介紹，可以吸引更多的小夥伴下載\n （點擊輸入，限30字）
173,更新分享
174,我的關注
175,輸入作者的迷你號
176,我的分享
177,返回
178,這傢伙很懶，什麼描述也沒留下~
179,如果你喜歡這張地圖就認真評個分吧！
180,確 定
181,存檔名不能為空
182,坐騎能力
183,孵化時間
184,存檔封面
185,獲取
186,使用
187,升級
188,你沒有分享存檔
189,該玩家沒有分享的地圖
190,默認排行
191,推薦
192,評分
193,本周熱門
194,最新
195,排行榜
196,開啟成長
197,立即成熟
198,收穫
199,來澆水除蟲的小夥伴：
200,植物處於#c0aba1d飽滿#n狀態
201,植物處於#cffda0a缺水#n狀態
202,植物處於#cff3d2b枯竭#n狀態
203,可能獲得：
204,成熟倒計時：
205,(立即成熟)
206,開始成長
207,查看好友家園
208,計分板
209,好友
210,粉絲
211,頭像
212,姓名
213,擊敗
214,加好友
215,坐騎
216,（預覽）
217,等待再次挑戰
218,切換迷你號，請注意：#r1.請先上傳重要存檔以防遺失#r2.在遊戲中玩耍遇到提示密碼錯誤時，可以嘗試切換登入解决
219,網路不穩定，房間已關閉
220,關閉房間將踢出所有玩家
221,退出遊戲將踢出所有玩家
222,遊戲開始: 3
223,遊戲開始: 2
224,遊戲開始: 1
225,開始！
226,我知道了
227,恢復默認
228,系統公告
229,@self給予@other重重一擊！
230,@self的攻擊準確命中@other！
231,@self“友好”地將@other送回復活點！
232,@self兩連擊！
233,@self三連擊！
234,@self非常犀利！
235,@self無人能擋！
236,@self主宰了這場比賽！
237,@self開始邁向超神之路！
238,@self正在暴走，誰去攔住他！
239,@self簡直如同神一般！
240,@self已經超神了，求求誰去終結他吧！
241,版本更新
242,暫無公告！！
243,@self終結了@other的三連擊！
244,@self終結了@other的犀利！
245,@self終結了@other的無人能擋！
246,@self終結了@other的主宰比賽！
247,@self終結了@other的超神之路！
248,@self終結了@other的暴走！
249,@self終結了@other的如神一般！
250,@self終結了@other的超神！
251,當前召喚的坐騎可以產出坐騎寶寶了！
252,遊戲時間@num天后才能孵化出坐騎寶寶
253,當前狀態不能坐下
254,距離太遠不能坐下
255,流浪商人
256,（商品已更新）
257,歡迎光臨，請問有什麼需要的嗎？\n請抓緊時間，錯過就要等下次了！
258,後離開
259,剩餘量：
260,已售罄
261,流浪商人
262,流浪商人離開了。
263,圖紙
264,嚯、嚯、嚯，你想要什麼？
265,備用
266,充值失敗，請稍後再試
267,備用
268,在首頁-我的家園-圖鑒解鎖後使用，活動與家園果實可獲得碎片
269,存儲空間不夠，存檔無法保存，請清理空間後再試
270,勝利
271,失敗
272,平局
273,啟動碼禮包
274,禮包啟動碼
275,啟動！
276,小提示：禮包啟動後請到商店
277,中的倉庫
278,查看獎勵
279,請輸入禮包啟動碼
280,@Null@
281,請輸入啟動碼！
282,"網路不穩定, 請檢查網路連接"
283,啟動碼已被使用，不能重複領取
284,你輸入的啟動碼有誤
285,恭喜你啟動了禮包
286,網路不穩定/平臺不正確/已領同類禮包
287,長按
288,點擊地面放置工具箱！
289,我的存檔
290,連線
291,常用
292,建築
293,機械
294,背包
295,工 具
296,作 物
297,雜 物
298,方 塊
299,編 輯
300,缺少#cfa7a0f木板#n，收集木頭製作一些木板
301,先選擇#cfa7a0f工具箱#n圖示，然後點擊右邊的#cfa7a0f製作#n按鈕
302,缺少製作#cfa7a0f木鎬#n的材料，請再去砍樹獲得#cfa7a0f木頭#n哦
303,選擇#cfa7a0f木鎬#n，點擊右邊的#cfa7a0f製作#n按鈕
304,歡迎來到迷你世界，讓我們先來#cfa7a0f熟悉操作#n吧，#cfa7a0f點擊#n螢幕
305,左右#cfa7a0f滑動螢幕#n轉動視角，面對前方
306,#cfa7a0f滑動#n搖杆可以#cfa7a0f移動#n，試著向前走走
307,#cfa7a0f長按方塊#n（箭頭指向處），持續採集直到#cfa7a0f破壞方塊#n
308,非常好，所有方塊都可以破壞並獲取，請點擊#cfa7a0f領取#n獎勵
309,沿著箭頭方向找到樹，#cfa7a0f長按#n樹方塊（手指提示處）獲取#cfa7a0f木頭#n
310,太好了，使用斧頭砍樹，可以更快的#cfa7a0f獲取木頭#n
311,現在打開#cfa7a0f背包#n，用#cfa7a0f木板#n合成一個#cfa7a0f工具箱#n吧
312,點擊#cfa7a0f製作#n標籤
313,#cfa7a0f工具箱#n可以合成製作很多的高級物品，居家旅行，冒險必備
314,將剛合成的#cfa7a0f工具箱#n放置到#cfa7a0f快捷欄#n中並且選中
315,點擊地面放置#cfa7a0f工具箱#n
316,#cfa7a0f點擊#n打開工具箱（手指提示處）
317,製作物品成功，在遊戲中使用#cfa7a0f木鎬#n，可以開採初級的礦石
318,點擊#cfa7a0f小麥麵包#n（放置到快捷物品欄位），會出現#cfa7a0f使用按鈕#n
319,#cfa7a0f長按#n右邊#cfa7a0f使用按鈕#n可以吃掉小麥麵包
320,只有在快捷物品欄，選中可使用的物品，才會出現#cfa7a0f使用按鈕#n
321,讓我們穿上剛獲得的#cfa7a0f頭盔#n裝備，先打開背包
322,點擊#cfa7a0f角色裝備#n標籤
323,點擊#cfa7a0f頭盔#n裝備
324,出現#cfa7a0f頭盔#n的說明和屬性，點擊#cfa7a0f裝備#n按鈕
325,太棒了，是不是很容易？讓我們去揍扁#cfa7a0f怪物#n吧！點擊左上角#cfa7a0f×#n關閉介面
326,注意！！有怪物向你走來 左右#cfa7a0f滑動螢幕#n，面對怪物 #cfa7a0f點擊#n怪物進行攻擊
327,恭喜完成了新手教學\n還有超多精彩，快開始新的冒險吧
328,創建世界名稱：
329,當前任務：#cfa7a0f熟悉操作#n
330,當前任務：砍樹獲得#cfa7a0f木頭#n
331,當前任務：製作#cfa7a0f工具箱#n
332,當前任務：製作#cfa7a0f木鎬#n
333,當前任務：吃掉#cfa7a0f小麥麵包#n
334,當前任務：擊敗#cfa7a0f怪物#n
335,當前地圖有更新，請重新下載最新版本
336,備用
337,備用
338,備用
339,系統維​​護中，暫時不能分享地圖。
340,"人數不夠,不能開啟遊戲"
341,@Null@
342,世界和平由你我共同維護，家園等級不滿2級時，地圖分享只能選擇僅自己可見
343,世界和平由你我共同維護，迷你號創建不滿7天，地圖分享只能選擇僅自己可見
344,當前地圖權限為僅自己可見，無法分享
345,當前地圖作者未開放下載權限，無法下載
346,@Null@
347,@Null@
348,@Null@
349,臉書
350,活躍
351,名稱
352,作者
353,登錄未成功，部分功能無法使用
354,正在更新中，請稍等
355,備用
356,@Null@
357,跨平臺不可以切換
358,名字中的符號不符合規定
359,迷你號:
360,當前時間：
361,當前版本：
362,免費
363,(成熟)
364,(打開1個)
365,(打開10個！)
366,已在該好友家園！
367,@Null@
368,坐騎召喚
369,獎勵已放入倉庫
370,再開一次
